id;name;address;city;postal_code;country;distance_in_m;owner;roaming;latitude;longitude;operator_name;operator_hotline;open_24_7
542916;Lichtmast_26419;Am Geenseel 10;Dortmund;44263;DE;0;;False;51.486623;7.510548;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542917;Lichtmast_26421;Am Geenseel 11/gü;Dortmund;44263;DE;0;;False;51.486335;7.510547;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542918;Lichtmast_46587;SEYDLITZSTR 7;Dortmund;44263;DE;0;;False;51.492472;7.492498;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542919;Lichtmast_26430;I. Bickestr 3;Dortmund;44263;DE;0;;False;51.486308;7.513179;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542920;Lichtmast_26595;Am Rebstock 38-40;Dortmund;44263;DE;0;;False;51.495004;7.507005;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542921;Lichtmast_26596;Am Rebstock 42;Dortmund;44263;DE;0;;False;51.495172;7.506565;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542922;Lichtmast_26599;Am Rebstock 48;Dortmund;44263;DE;0;;False;51.495344;7.506029;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542932;Lichtmast_46509;NERVIERSTR 22;Dortmund;44263;DE;0;;False;51.486247;7.494537;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542937;Lichtmast_29164;Huestr 99;Dortmund;44263;DE;0;;False;51.497709;7.516434;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542939;Lichtmast_35760;Kuntzestr 42;Dortmund;44225;DE;0;;False;51.473991;7.444393;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542941;Lichtmast_35820;Kuntzestr 2;Dortmund;44225;DE;0;;False;51.47396;7.448184;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542942;Lichtmast_40462;WILHELMSTR 78/gü;Dortmund;44137;DE;0;;False;51.509798;7.457123;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542943;Lichtmast_40376;Dudenstraße 18(/Luisen;Dortmund;44137;DE;0;;False;51.508212;7.459248;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542945;Lichtmast_19160;Leostr 36;Dortmund;44225;DE;0;;False;51.47444;7.432862;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542946;Lichtmast_40476;Wilhelmstr. 64/gü;Dortmund;44137;DE;0;;False;51.51222;7.452238;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542948;Lichtmast_19174;Leostr 27/gü;Dortmund;44225;DE;0;;False;51.474568;7.436005;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542952;Lichtmast_19177;Singerhoffstr 6;Dortmund;44225;DE;0;;False;51.474812;7.437184;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542953;Lichtmast_35620;Singerhoffstr 60;Dortmund;44225;DE;0;;False;51.47066;7.440137;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542958;Lichtmast_46527;NERVIERSTR 4;Dortmund;44137;DE;0;;False;51.48706;7.494578;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542962;Lichtmast_40461;Wilhelmstr 70/gü;Dortmund;44137;DE;0;;False;51.510074;7.456139;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542963;Lichtmast_18117;Spicherner  17 /zw. 17;Dortmund;44149;DE;0;;False;51.513778;7.419931;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542964;Lichtmast_40510;Elisabethstr 2/gü;Dortmund;44137;DE;0;;False;51.509634;7.464705;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542965;Lichtmast_40514;Suedrandweg 2/gü;Dortmund;44135;DE;0;;False;51.509463;7.466764;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542966;Lichtmast_43749;Erzbergerstr. 4;Dortmund;44135;DE;0;;False;51.510441;7.47347;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542972;Lichtmast_41304;Johannisborn  4 /zw.4-6;Dortmund;44135;DE;0;;False;51.51797;7.468614;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
542973;Lichtmast_41227;Bischofsgasse 1 /Reinold;Dortmund;44135;DE;0;;False;51.516147;7.467696;Dortmunder Energie- und Wasserversorgung;+4923170097799;True
