id_cp;id;standard;tariff_id;max_power;voltage;ampere;format;power_type
DE*KIE*E30009*002;864338;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30010*001;864339;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30010*001;864340;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30010*002;864341;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30010*002;864342;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30011*001;864343;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30011*001;864344;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30011*002;864345;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30011*002;864346;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30012*001;864347;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30012*001;864348;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30012*002;864349;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30012*002;864350;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30013*001;864351;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30013*001;864352;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30013*002;864353;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30013*002;864354;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30014*001;864355;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30014*001;864356;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30014*002;864357;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30014*002;864358;DOMESTIC_F;;3;230;13;SOCKET;AC_1_PHASE
DE*KIE*E30016*001;1250873;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30016*002;1250874;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30019*001;2894282;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30019*002;2894284;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30020*001;2894270;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30020*002;2894272;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30021*001;2894274;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30021*002;2894276;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
DE*KIE*E30017*001;2662622;IEC_62196_T2;;22;400;32;SOCKET;AC_3_PHASE
