id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
598823;1871761;2;False;;four_wheeled;;-;DE*GOE*E00043*004;;;
602548;2147995;;False;;four_wheeled;;-;DE*GOE*E00030*001;;;
602548;2147996;;False;;four_wheeled;;-;DE*GOE*E00030*002;;;
602550;2148005;;False;;four_wheeled;;-;DE*GOE*E00039*001;;;
602550;2148006;;False;;four_wheeled;;-;DE*GOE*E00039*002;;;
690619;1818991;2;False;;four_wheeled;;-;DE*GOE*E10004*002;;;
690619;1857759;1;False;;four_wheeled;;-;DE*GOE*E10004*001;;;
706632;1977338;1;False;;four_wheeled;;-;DE*GOE*E00029*001;;;
706632;1977339;2;False;;four_wheeled;;-;DE*GOE*E00029*002;;;
384452;880036;;False;;four_wheeled;;-;DE*LVP*E20449*001;;;
384452;880038;;False;;four_wheeled;;-;DE*LVP*E20449*002;;;
384456;880040;;False;;four_wheeled;;-;DE*LVP*E20450*001;;;
384456;880042;;False;;four_wheeled;;-;DE*LVP*E20450*002;;;
384458;880044;;False;;four_wheeled;;-;DE*LVP*E20451*001;;;
384458;880046;;False;;four_wheeled;;-;DE*LVP*E20451*002;;;
384460;880048;;False;;four_wheeled;;-;DE*LVP*E20452*001;;;
384460;880050;;False;;four_wheeled;;-;DE*LVP*E20452*002;;;
384460;880058;;False;;four_wheeled;;-;DE*LVP*E20454*002;;;
384462;880052;;False;;four_wheeled;;-;DE*LVP*E20453*001;;;
384462;880054;;False;;four_wheeled;;-;DE*LVP*E20453*002;;;
384466;880060;;False;;four_wheeled;;-;DE*LVP*E20455*001;;;
384466;880062;;False;;four_wheeled;;-;DE*LVP*E20455*002;;;
385726;881742;;False;;four_wheeled;;-;DE*LVP*E20546*001;;;
385726;881744;;False;;four_wheeled;;-;DE*LVP*E20546*002;;;
385730;881748;;False;;four_wheeled;;-;DE*LVP*E20544*001;;;
385730;881750;;False;;four_wheeled;;-;DE*LVP*E20544*002;;;
385732;881754;;False;;four_wheeled;;-;DE*LVP*E20545*001;;;
385732;881756;;False;;four_wheeled;;-;DE*LVP*E20545*002;;;
385734;881760;;False;;four_wheeled;;-;DE*LVP*E20543*001;;;
385734;881762;;False;;four_wheeled;;-;DE*LVP*E20543*002;;;
9963;48694;;False;;four_wheeled;;-;DE*TUE*E00019*001;;;
9963;49292;;False;;four_wheeled;;-;DE*TUE*E00019*002;;;
9963;49294;;False;;four_wheeled;;-;DE*TUE*E00019*003;;;
